average_systolic_pressure (mmHg),average_diastolic_pressure (mmHg),systolic_peaks (mmHg),systolic_peak_times,diastolic_troughs (mmHg),diastolic_trough_times,dicrotic_notches (mmHg),dicrotic_notch_times,MAP (mmHg),average_MAP (mmHg),systole_duration (s),average_systole_duration (s),diastole_duration (s),average_diastole_duration (s),compression_rate,average_compression_rate (compressions/min),pulse_pressure (mmHg),average_pulse_pressure (mmHg)
46.88451550096774,24.784838081612897,48.96603163,2023-08-04 16:41:08.502,22.93503163,2023-08-04 16:41:08.286,38.73503163,2023-08-04 16:41:08.550,30.948698296666667,32.19089829666667,0.264,0.3024516129032259,0.32,0.2637333333333334,0.608,105.73308270676694,26.031000000000002,22.099677419354844
,,47.01303163,2023-08-04 16:41:09.110,21.94003163,2023-08-04 16:41:08.870,39.51103163,2023-08-04 16:41:09.134,30.292364963333334,,0.264,,0.312,,0.544,,25.073,
,,44.40203163,2023-08-04 16:41:09.654,21.93203163,2023-08-04 16:41:09.446,35.37103163,2023-08-04 16:41:09.710,30.050698296666667,,0.264,,0.312,,0.584,,22.470000000000002,
,,44.97303163,2023-08-04 16:41:10.238,22.87503163,2023-08-04 16:41:10.022,37.14403163,2023-08-04 16:41:10.286,30.64303163,,0.264,,0.32,,0.568,,22.098000000000003,
,,46.37603163,2023-08-04 16:41:10.806,23.47803163,2023-08-04 16:41:10.606,37.26703163,2023-08-04 16:41:10.854,31.46536496333333,,0.248,,0.32,,0.576,,22.898,
,,45.37803163,2023-08-04 16:41:11.382,24.01003163,2023-08-04 16:41:11.174,37.87903163,2023-08-04 16:41:11.430,31.52603163,,0.256,,0.312,,0.576,,21.368000000000002,
,,46.19103163,2023-08-04 16:41:11.958,24.60003163,2023-08-04 16:41:11.742,38.80403163,2023-08-04 16:41:12.006,32.04969829666666,,0.264,,0.312,,0.568,,21.590999999999998,
,,47.88803163,2023-08-04 16:41:12.526,24.97903163,2023-08-04 16:41:12.318,38.39603163,2023-08-04 16:41:12.574,33.05136496333333,,0.256,,0.224,,0.576,,22.909,
,,49.91203163,2023-08-04 16:41:13.102,25.63303163,2023-08-04 16:41:12.798,37.89403163,2023-08-04 16:41:13.142,33.652031629999996,,0.344,,0.28,,0.568,,24.279,
,,46.68303163,2023-08-04 16:41:13.670,25.52203163,2023-08-04 16:41:13.422,38.96303163,2023-08-04 16:41:13.710,32.20036496333333,,0.288,,0.32,,0.56,,21.161,
