average_systolic_pressure (mmHg),average_diastolic_pressure (mmHg),systolic_peaks (mmHg),systolic_peak_times,diastolic_troughs (mmHg),diastolic_trough_times,dicrotic_notches (mmHg),dicrotic_notch_times,MAP (mmHg),average_MAP (mmHg),systole_duration (s),average_systole_duration (s),diastole_duration (s),average_diastole_duration (s),compression_rate,average_compression_rate (compressions/min),pulse_pressure (mmHg),average_pulse_pressure (mmHg),hypogravity_parabola
52.72486496333333,28.02163163,58.28103163,2023-08-04 16:16:43.542,26.64703163,2023-08-04 16:16:43.030,53.12303163,2023-08-04 16:16:43.558,36.78436496333333,36.294158066781605,0.528,0.30826666666666663,0.248,0.2697931034482759,0.632,105.3268765133172,31.634,24.703233333333337,1
,,53.71103163,2023-08-04 16:16:44.174,26.03603163,2023-08-04 16:16:43.806,45.56603163,2023-08-04 16:16:44.190,35.89436496333333,,0.384,,0.2,,0.576,,27.675,,1
,,53.49903163,2023-08-04 16:16:44.750,26.98603163,2023-08-04 16:16:44.390,45.55703163,2023-08-04 16:16:44.774,36.29169829666667,,0.384,,0.208,,0.584,,26.513,,1
,,53.77103163,2023-08-04 16:16:45.334,27.68803163,2023-08-04 16:16:44.982,47.72103163,2023-08-04 16:16:45.350,36.90903163,,0.368,,0.208,,0.576,,26.083,,1
,,53.80203163,2023-08-04 16:16:45.910,28.47803163,2023-08-04 16:16:45.558,48.06003163,2023-08-04 16:16:45.934,36.88469829666667,,0.376,,0.312,,0.576,,25.324,,1
,,53.57003163,2023-08-04 16:16:46.486,28.42603163,2023-08-04 16:16:46.246,47.98603163,2023-08-04 16:16:46.502,36.630698296666665,,0.256,,0.32,,0.56,,25.144,,1
,,52.50103163,2023-08-04 16:16:47.046,28.16103163,2023-08-04 16:16:46.822,46.73703163,2023-08-04 16:16:47.078,36.020364963333336,,0.256,,0.2,,0.584,,24.34,,1
,,52.09403163,2023-08-04 16:16:47.630,27.78003163,2023-08-04 16:16:47.278,46.42603163,2023-08-04 16:16:47.654,35.78936496333333,,0.376,,0.312,,0.552,,24.314000000000004,,1
,,52.17503163,2023-08-04 16:16:48.182,27.63703163,2023-08-04 16:16:47.966,46.19803163,2023-08-04 16:16:48.222,35.853698296666664,,0.256,,0.2,,0.568,,24.538,,1
,,51.94103163,2023-08-04 16:16:48.750,27.69303163,2023-08-04 16:16:48.422,46.77603163,2023-08-04 16:16:48.798,36.05636496333333,,0.376,,0.312,,0.568,,24.248,,1
,,52.17903163,2023-08-04 16:16:49.318,28.11403163,2023-08-04 16:16:49.110,46.02103163,2023-08-04 16:16:49.366,36.203698296666666,,0.256,,0.312,,0.576,,24.065,,1
,,52.27503163,2023-08-04 16:16:49.894,28.21603163,2023-08-04 16:16:49.678,45.41803163,2023-08-04 16:16:49.934,36.21769829666667,,0.256,,0.2,,0.568,,24.059,,1
,,52.65103163,2023-08-04 16:16:50.462,28.18903163,2023-08-04 16:16:50.134,45.31103163,2023-08-04 16:16:50.502,36.26969829666666,,0.368,,0.312,,0.56,,24.462,,1
,,52.16203163,2023-08-04 16:16:51.022,28.07903163,2023-08-04 16:16:50.814,44.26103163,2023-08-04 16:16:51.070,36.07203163,,0.256,,0.312,,0.568,,24.083,,1
,,52.86603163,2023-08-04 16:16:51.590,28.02703163,2023-08-04 16:16:51.382,44.65703163,2023-08-04 16:16:51.638,36.47336496333333,,0.256,,0.312,,0.568,,24.839,,1
,,52.88203163,2023-08-04 16:16:52.158,28.27703163,2023-08-04 16:16:51.950,44.00703163,2023-08-04 16:16:52.206,36.58003162999999,,0.256,,0.296,,0.568,,24.605,,1
,,52.37603163,2023-08-04 16:16:52.726,28.42903163,2023-08-04 16:16:52.502,44.76903163,2023-08-04 16:16:52.766,36.26136496333333,,0.264,,0.296,,0.568,,23.947,,1
,,51.98503163,2023-08-04 16:16:53.294,28.20403163,2023-08-04 16:16:53.062,43.93503163,2023-08-04 16:16:53.334,36.17836496333333,,0.272,,0.312,,0.56,,23.781,,1
,,51.97403163,2023-08-04 16:16:53.854,28.27503163,2023-08-04 16:16:53.646,43.22503163,2023-08-04 16:16:53.902,36.23669829666666,,0.256,,0.312,,0.568,,23.699,,1
,,52.02303163,2023-08-04 16:16:54.422,28.36803163,2023-08-04 16:16:54.214,43.61803163,2023-08-04 16:16:54.470,36.22769829666667,,0.256,,0.28,,0.568,,23.655,,1
,,52.74203163,2023-08-04 16:16:54.990,28.33003163,2023-08-04 16:16:54.750,44.01003163,2023-08-04 16:16:55.030,36.470031629999994,,0.28,,0.312,,0.56,,24.412,,1
,,51.89303163,2023-08-04 16:16:55.550,28.33403163,2023-08-04 16:16:55.342,43.11103163,2023-08-04 16:16:55.598,36.17703163,,0.256,,0.232,,0.568,,23.559000000000005,,1
,,52.10503163,2023-08-04 16:16:56.118,28.31903163,2023-08-04 16:16:55.830,44.10503163,2023-08-04 16:16:56.158,36.14103163,,0.328,,0.32,,0.568,,23.786,,1
,,52.49503163,2023-08-04 16:16:56.686,28.15903163,2023-08-04 16:16:56.478,43.62403163,2023-08-04 16:16:56.726,36.33703163,,0.248,,0.2,,0.56,,24.336,,1
,,52.11503163,2023-08-04 16:16:57.246,28.25803163,2023-08-04 16:16:56.926,43.70003163,2023-08-04 16:16:57.294,36.24769829666666,,0.368,,0.2,,0.568,,23.857,,1
,,51.87503163,2023-08-04 16:16:57.814,28.31403163,2023-08-04 16:16:57.494,43.06903163,2023-08-04 16:16:57.854,36.22703163,,0.36,,0.312,,0.56,,23.561000000000003,,1
,,52.69703163,2023-08-04 16:16:58.374,28.40303163,2023-08-04 16:16:58.166,43.65603163,2023-08-04 16:16:58.422,36.42036496333333,,0.256,,0.232,,0.56,,24.294,,1
,,52.24203163,2023-08-04 16:16:58.934,28.28203163,2023-08-04 16:16:58.654,43.39403163,2023-08-04 16:16:58.982,36.34136496333333,,0.328,,0.312,,0.568,,23.96,,1
,,52.70503163,2023-08-04 16:16:59.502,28.39103163,2023-08-04 16:16:59.294,43.45703163,2023-08-04 16:16:59.542,36.33369829666667,,0.248,,0.24,,0.56,,24.314,,1
,,52.15803163,2023-08-04 16:17:00.062,28.14803163,2023-08-04 16:16:59.782,43.91103163,2023-08-04 16:17:00.102,,,0.32,,,,,,24.010000000000005,,1
49.20057708454545,26.622001326969695,47.07103163,2023-08-04 16:27:08.958,25.77003163,2023-08-04 16:27:08.710,39.47603163,2023-08-04 16:27:08.974,32.39036496333333,34.170927463333335,0.264,0.3001212121212121,0.328,0.26525,0.552,106.05391073795846,21.301,22.57857575757576,2
,,47.44303163,2023-08-04 16:27:09.510,25.05003163,2023-08-04 16:27:09.302,39.53903163,2023-08-04 16:27:09.558,32.47103163,,0.256,,0.224,,0.568,,22.393,,2
,,47.48003163,2023-08-04 16:27:10.078,24.98503163,2023-08-04 16:27:09.782,40.32103163,2023-08-04 16:27:10.126,32.57669829666666,,0.344,,0.232,,0.576,,22.495,,2
,,47.68303163,2023-08-04 16:27:10.654,25.12503163,2023-08-04 16:27:10.358,39.78803163,2023-08-04 16:27:10.702,33.04103163,,0.344,,0.224,,0.576,,22.558000000000003,,2
,,47.91103163,2023-08-04 16:27:11.230,25.72003163,2023-08-04 16:27:10.926,40.15503163,2023-08-04 16:27:11.278,33.535698296666666,,0.352,,0.224,,0.576,,22.190999999999995,,2
,,49.22103163,2023-08-04 16:27:11.806,26.34803163,2023-08-04 16:27:11.502,41.10703163,2023-08-04 16:27:11.846,34.411698296666664,,0.344,,0.224,,0.568,,22.873,,2
,,49.30403163,2023-08-04 16:27:12.374,27.00703163,2023-08-04 16:27:12.070,41.34803163,2023-08-04 16:27:12.422,34.65669829666666,,0.352,,0.216,,0.568,,22.297,,2
,,49.34303163,2023-08-04 16:27:12.942,27.33303163,2023-08-04 16:27:12.638,40.99603163,2023-08-04 16:27:12.990,34.70969829666666,,0.352,,0.224,,0.568,,22.01,,2
,,49.33903163,2023-08-04 16:27:13.510,27.39303163,2023-08-04 16:27:13.214,40.88603163,2023-08-04 16:27:13.558,34.25036496333333,,0.344,,0.224,,0.576,,21.946,,2
