average_systolic_pressure (mmHg),average_diastolic_pressure (mmHg),systolic_peaks (mmHg),systolic_peak_times,diastolic_troughs (mmHg),diastolic_trough_times,dicrotic_notches (mmHg),dicrotic_notch_times,MAP (mmHg),average_MAP (mmHg),systole_duration (s),average_systole_duration (s),diastole_duration (s),average_diastole_duration (s),compression_rate,average_compression_rate (compressions/min),pulse_pressure (mmHg),average_pulse_pressure (mmHg)
49.20057708454545,26.622001326969695,47.07103163,2023-08-04 16:27:08.958,25.77003163,2023-08-04 16:27:08.710,39.47603163,2023-08-04 16:27:08.974,32.39036496333333,34.170927463333335,0.264,0.3001212121212121,0.328,0.26525,0.552,106.05391073795847,21.301000000000002,22.578575757575756
,,47.44303163,2023-08-04 16:27:09.510,25.05003163,2023-08-04 16:27:09.302,39.53903163,2023-08-04 16:27:09.558,32.47103163,,0.256,,0.224,,0.568,,22.393,
,,47.48003163,2023-08-04 16:27:10.078,24.98503163,2023-08-04 16:27:09.782,40.32103163,2023-08-04 16:27:10.126,32.57669829666666,,0.344,,0.232,,0.576,,22.494999999999997,
,,47.68303163,2023-08-04 16:27:10.654,25.12503163,2023-08-04 16:27:10.358,39.78803163,2023-08-04 16:27:10.702,33.04103163,,0.344,,0.224,,0.576,,22.558000000000003,
,,47.91103163,2023-08-04 16:27:11.230,25.72003163,2023-08-04 16:27:10.926,40.15503163,2023-08-04 16:27:11.278,33.535698296666666,,0.352,,0.224,,0.576,,22.190999999999995,
,,49.22103163,2023-08-04 16:27:11.806,26.34803163,2023-08-04 16:27:11.502,41.10703163,2023-08-04 16:27:11.846,34.411698296666664,,0.344,,0.224,,0.568,,22.872999999999998,
,,49.30403163,2023-08-04 16:27:12.374,27.00703163,2023-08-04 16:27:12.070,41.34803163,2023-08-04 16:27:12.422,34.65669829666666,,0.352,,0.216,,0.568,,22.296999999999997,
,,49.34303163,2023-08-04 16:27:12.942,27.33303163,2023-08-04 16:27:12.638,40.99603163,2023-08-04 16:27:12.990,34.70969829666666,,0.352,,0.224,,0.568,,22.009999999999998,
,,49.33903163,2023-08-04 16:27:13.510,27.39303163,2023-08-04 16:27:13.214,40.88603163,2023-08-04 16:27:13.558,34.25036496333333,,0.344,,0.224,,0.576,,21.946,
,,48.87303163,2023-08-04 16:27:14.086,26.70603163,2023-08-04 16:27:13.782,40.41603163,2023-08-04 16:27:14.126,34.026364963333336,,0.344,,0.28,,0.568,,22.167,
,,49.33303163,2023-08-04 16:27:14.654,26.60303163,2023-08-04 16:27:14.406,40.18203163,2023-08-04 16:27:14.694,34.271031629999996,,0.288,,0.32,,0.56,,22.73,
,,52.60103163,2023-08-04 16:27:15.214,26.74003163,2023-08-04 16:27:15.014,38.56103163,2023-08-04 16:27:15.262,35.247031629999995,,0.248,,0.312,,0.568,,25.861,
,,53.06703163,2023-08-04 16:27:15.782,26.57003163,2023-08-04 16:27:15.574,40.80403163,2023-08-04 16:27:15.830,35.58703163,,0.256,,0.32,,0.568,,26.497000000000003,
,,48.41603163,2023-08-04 16:27:16.350,26.84703163,2023-08-04 16:27:16.150,40.08003163,2023-08-04 16:27:16.398,34.10269829666666,,0.248,,0.232,,0.568,,21.569,
,,48.94003163,2023-08-04 16:27:16.918,26.94603163,2023-08-04 16:27:16.630,39.83703163,2023-08-04 16:27:16.958,34.27203163,,0.328,,0.304,,0.56,,21.994,
,,52.16003163,2023-08-04 16:27:17.478,26.93803163,2023-08-04 16:27:17.262,38.89703163,2023-08-04 16:27:17.526,34.93803163,,0.264,,0.32,,0.576,,25.221999999999998,
,,50.97203163,2023-08-04 16:27:18.054,26.32703163,2023-08-04 16:27:17.846,41.34203163,2023-08-04 16:27:18.094,34.54469829666667,,0.248,,0.304,,0.56,,24.644999999999996,
