average_systolic_pressure (mmHg),average_diastolic_pressure (mmHg),systolic_peaks (mmHg),systolic_peak_times,diastolic_troughs (mmHg),diastolic_trough_times,dicrotic_notches (mmHg),dicrotic_notch_times,MAP (mmHg),average_MAP (mmHg),systole_duration (s),average_systole_duration (s),diastole_duration (s),average_diastole_duration (s),compression_rate,average_compression_rate (compressions/min),pulse_pressure (mmHg),average_pulse_pressure (mmHg)
45.44221344818182,23.411789205757575,45.67003163,2023-08-04 16:49:56.070,21.25803163,2023-08-04 16:49:55.854,35.50403163,2023-08-04 16:49:56.118,29.247364963333332,30.79511496333333,0.264,0.3170909090909091,0.312,0.24775,0.576,105.9135039717564,24.411999999999995,22.030424242424242
,,45.92403163,2023-08-04 16:49:56.646,21.03603163,2023-08-04 16:49:56.430,32.36403163,2023-08-04 16:49:56.694,29.136698296666665,,0.264,,0.184,,0.584,,24.888,
,,45.40903163,2023-08-04 16:49:57.230,20.74303163,2023-08-04 16:49:56.878,35.27603163,2023-08-04 16:49:57.270,28.128364963333333,,0.392,,0.176,,0.568,,24.666,
,,49.45403163,2023-08-04 16:49:57.798,19.48803163,2023-08-04 16:49:57.446,38.06903163,2023-08-04 16:49:57.846,30.31803163,,0.4,,0.152,,0.576,,29.966000000000005,
,,47.68603163,2023-08-04 16:49:58.374,20.75003163,2023-08-04 16:49:57.998,39.02603163,2023-08-04 16:49:58.414,30.358698296666667,,0.416,,0.152,,0.568,,26.936000000000003,
,,45.93403163,2023-08-04 16:49:58.942,21.69503163,2023-08-04 16:49:58.566,37.75103163,2023-08-04 16:49:58.990,30.21403163,,0.424,,0.296,,0.568,,24.239,
,,43.49803163,2023-08-04 16:49:59.510,22.35403163,2023-08-04 16:49:59.286,36.74503163,2023-08-04 16:49:59.558,30.024698296666664,,0.272,,0.312,,0.576,,21.144,
,,45.57603163,2023-08-04 16:50:00.086,23.28803163,2023-08-04 16:49:59.870,36.73903163,2023-08-04 16:50:00.134,30.986698296666667,,0.264,,0.224,,0.568,,22.288000000000004,
,,45.87403163,2023-08-04 16:50:00.654,23.69203163,2023-08-04 16:50:00.358,37.09203163,2023-08-04 16:50:00.702,31.24936496333333,,0.344,,0.224,,0.568,,22.182,
,,46.43003163,2023-08-04 16:50:01.222,23.93703163,2023-08-04 16:50:00.926,36.43503163,2023-08-04 16:50:01.270,31.46136496333333,,0.344,,0.224,,0.568,,22.493000000000002,
,,45.59703163,2023-08-04 16:50:01.790,23.97703163,2023-08-04 16:50:01.494,36.26103163,2023-08-04 16:50:01.838,31.15436496333333,,0.344,,0.312,,0.568,,21.619999999999997,
,,44.67403163,2023-08-04 16:50:02.358,23.93303163,2023-08-04 16:50:02.150,36.18303163,2023-08-04 16:50:02.406,30.66203163,,0.256,,0.312,,0.568,,20.741000000000003,
,,44.83503163,2023-08-04 16:50:02.926,23.65603163,2023-08-04 16:50:02.718,36.17403163,2023-08-04 16:50:02.974,30.818364963333334,,0.256,,0.312,,0.568,,21.179000000000002,
,,45.22603163,2023-08-04 16:50:03.494,23.81003163,2023-08-04 16:50:03.286,35.88003163,2023-08-04 16:50:03.534,31.054031629999997,,0.248,,0.296,,0.568,,21.416,
,,45.31003163,2023-08-04 16:50:04.062,23.96803163,2023-08-04 16:50:03.830,35.48403163,2023-08-04 16:50:04.102,31.160698296666666,,0.272,,0.304,,0.56,,21.342,
,,44.98703163,2023-08-04 16:50:04.622,24.08603163,2023-08-04 16:50:04.406,35.47103163,2023-08-04 16:50:04.670,31.042364963333327,,0.264,,0.312,,0.568,,20.900999999999996,
,,45.36603163,2023-08-04 16:50:05.190,24.07003163,2023-08-04 16:50:04.982,35.79903163,2023-08-04 16:50:05.230,31.126698296666667,,0.248,,0.232,,0.56,,21.296000000000003,
,,44.29503163,2023-08-04 16:50:05.750,24.00703163,2023-08-04 16:50:05.462,34.44903163,2023-08-04 16:50:05.798,30.90103163,,0.336,,0.312,,0.568,,20.287999999999997,
,,45.24103163,2023-08-04 16:50:06.318,24.20403163,2023-08-04 16:50:06.110,35.44703163,2023-08-04 16:50:06.366,31.28303163,,0.256,,0.224,,0.56,,21.037000000000003,
,,43.40203163,2023-08-04 16:50:06.878,24.30403163,2023-08-04 16:50:06.590,34.27803163,2023-08-04 16:50:06.926,30.497364963333332,,0.336,,0.232,,0.568,,19.098000000000003,
,,46.47703163,2023-08-04 16:50:07.446,24.04503163,2023-08-04 16:50:07.158,34.91403163,2023-08-04 16:50:07.494,31.689698296666666,,0.336,,0.224,,0.56,,22.432,
,,44.78403163,2023-08-04 16:50:08.006,24.29603163,2023-08-04 16:50:07.718,34.52803163,2023-08-04 16:50:08.054,31.08403163,,0.336,,0.232,,0.568,,20.488,
,,45.21703163,2023-08-04 16:50:08.574,24.23403163,2023-08-04 16:50:08.286,35.55903163,2023-08-04 16:50:08.622,31.221698296666666,,0.336,,0.224,,0.56,,20.983,
,,44.90403163,2023-08-04 16:50:09.134,24.22403163,2023-08-04 16:50:08.846,35.12803163,2023-08-04 16:50:09.182,31.093364963333332,,0.336,,0.232,,0.568,,20.68,
,,45.48503163,2023-08-04 16:50:09.702,24.18803163,2023-08-04 16:50:09.414,35.26403163,2023-08-04 16:50:09.742,31.362364963333334,,0.328,,0.232,,0.56,,21.297,
,,45.28003163,2023-08-04 16:50:10.262,24.30103163,2023-08-04 16:50:09.974,34.67603163,2023-08-04 16:50:10.310,31.174698296666662,,0.336,,0.224,,0.56,,20.979000000000003,
,,44.75203163,2023-08-04 16:50:10.822,24.12203163,2023-08-04 16:50:10.534,35.33103163,2023-08-04 16:50:10.870,31.12003163,,0.336,,0.312,,0.568,,20.63,
,,45.23903163,2023-08-04 16:50:11.390,24.30403163,2023-08-04 16:50:11.182,35.94303163,2023-08-04 16:50:11.430,31.198364963333333,,0.248,,0.232,,0.56,,20.935,
,,45.02503163,2023-08-04 16:50:11.950,24.17803163,2023-08-04 16:50:11.662,35.17203163,2023-08-04 16:50:11.998,31.113031629999995,,0.336,,0.224,,0.56,,20.847,
,,45.33603163,2023-08-04 16:50:12.510,24.15703163,2023-08-04 16:50:12.222,35.47303163,2023-08-04 16:50:12.558,31.168698296666665,,0.336,,0.232,,0.568,,21.179000000000002,
,,45.52903163,2023-08-04 16:50:13.078,24.08503163,2023-08-04 16:50:12.790,36.05803163,2023-08-04 16:50:13.118,31.329698296666663,,0.328,,0.232,,0.56,,21.444,
,,45.25203163,2023-08-04 16:50:13.638,24.23003163,2023-08-04 16:50:13.350,36.62803163,2023-08-04 16:50:13.686,31.062698296666664,,0.336,,0.224,,0.56,,21.022,
,,45.92403163,2023-08-04 16:50:14.198,23.96803163,2023-08-04 16:50:13.910,35.43603163,2023-08-04 16:50:14.246,,,0.336,,,,,,21.956000000000003,
